date,btcPrice,cbbiConfidence,regime,dailyReturn,portfolioReturn,equity,bull2x,bull3x,bear1x,usdc,spot
2016-01-20,420.62,0.2772,NORMAL,0.112283,0.134740,125342.57,0.250,0.150,0.000,0.350,0.250
2016-01-21,409.30,0.2857,NORMAL,-0.026923,-0.032308,121293.04,0.250,0.150,0.000,0.350,0.250
2016-01-22,381.05,0.2982,NORMAL,-0.069025,-0.082831,111246.27,0.250,0.150,0.000,0.350,0.250
2016-01-23,386.37,0.2856,NORMAL,0.013972,0.016767,113111.53,0.250,0.150,0.000,0.350,0.250
2016-01-24,403.45,0.2861,NORMAL,0.044197,0.053036,119110.52,0.250,0.150,0.000,0.350,0.250
2016-01-25,391.99,0.2909,NORMAL,-0.028407,-0.034089,115050.20,0.250,0.150,0.000,0.350,0.250
2016-01-26,391.14,0.2903,NORMAL,-0.002151,-0.002581,114753.23,0.250,0.150,0.000,0.350,0.250
2016-01-27,394.63,0.2891,NORMAL,0.008909,0.010691,115980.00,0.250,0.150,0.000,0.350,0.250
2016-01-28,378.90,0.2866,NORMAL,-0.039852,-0.047822,110433.61,0.250,0.150,0.000,0.350,0.250
2016-01-29,379.00,0.2857,NORMAL,0.000261,0.000314,110468.24,0.250,0.150,0.000,0.350,0.250
2016-01-30,377.26,0.2873,NORMAL,-0.004584,-0.005500,109860.62,0.250,0.150,0.000,0.350,0.250
2016-01-31,366.34,0.2844,NORMAL,-0.028948,-0.034738,106044.29,0.250,0.150,0.000,0.350,0.250
2016-02-01,371.22,0.2772,NORMAL,0.013326,0.015991,107740.03,0.250,0.150,0.000,0.350,0.250
2016-02-02,372.93,0.2816,NORMAL,0.004591,0.005509,108333.56,0.250,0.150,0.000,0.350,0.250
2016-02-03,368.10,0.2824,NORMAL,-0.012950,-0.015540,106650.05,0.250,0.150,0.000,0.350,0.250
2016-02-04,389.72,0.2801,NORMAL,0.058748,0.070497,114168.56,0.250,0.150,0.000,0.350,0.250
2016-02-05,384.40,0.2909,NORMAL,-0.013663,-0.016395,112296.74,0.250,0.150,0.000,0.350,0.250
2016-02-06,374.63,0.2945,NORMAL,-0.025408,-0.030490,108872.84,0.250,0.150,0.000,0.350,0.250
2016-02-07,375.15,0.2845,NORMAL,0.001394,0.001673,109055.01,0.250,0.150,0.000,0.350,0.250
2016-02-08,370.81,0.2763,NORMAL,-0.011567,-0.013881,107541.22,0.250,0.150,0.000,0.350,0.250
2016-02-09,373.51,0.2812,NORMAL,0.007274,0.008729,108479.91,0.250,0.150,0.000,0.350,0.250
2016-02-10,379.08,0.2784,NORMAL,0.014915,0.017898,110421.51,0.250,0.150,0.000,0.350,0.250
2016-02-11,377.64,0.2874,NORMAL,-0.003808,-0.004569,109916.97,0.250,0.150,0.000,0.350,0.250
2016-02-12,382.29,0.2835,NORMAL,0.012327,0.014793,111542.95,0.250,0.150,0.000,0.350,0.250
2016-02-13,389.60,0.2815,NORMAL,0.019106,0.022927,114100.27,0.250,0.150,0.000,0.350,0.250
2016-02-14,406.15,0.2892,NORMAL,0.042485,0.050982,119917.38,0.250,0.150,0.000,0.350,0.250
2016-02-15,399.27,0.2927,NORMAL,-0.016947,-0.020336,117478.68,0.250,0.150,0.000,0.350,0.250
2016-02-16,407.04,0.2917,NORMAL,0.019455,0.023346,120221.32,0.250,0.150,0.000,0.350,0.250
2016-02-17,415.32,0.3001,NORMAL,0.020364,0.024437,123159.12,0.250,0.150,0.000,0.350,0.250
2016-02-18,421.29,0.3089,NORMAL,0.014364,0.017236,125281.93,0.250,0.150,0.000,0.350,0.250
2016-02-19,419.63,0.3061,NORMAL,-0.003948,-0.004737,124688.44,0.250,0.150,0.000,0.350,0.250
2016-02-20,440.20,0.3096,NORMAL,0.049018,0.058822,132022.80,0.250,0.150,0.000,0.350,0.250
2016-02-21,438.72,0.3106,NORMAL,-0.003356,-0.004027,131491.18,0.250,0.150,0.000,0.350,0.250
2016-02-22,437.54,0.3133,NORMAL,-0.002697,-0.003237,131065.58,0.250,0.150,0.000,0.350,0.250
2016-02-23,420.03,0.3134,NORMAL,-0.040003,-0.048004,124773.97,0.250,0.150,0.000,0.350,0.250
2016-02-24,424.00,0.3018,NORMAL,0.009434,0.011321,126186.49,0.250,0.150,0.000,0.350,0.250
2016-02-25,424.09,0.3101,NORMAL,0.000226,0.000271,126220.69,0.250,0.150,0.000,0.350,0.250
2016-02-26,431.76,0.3075,NORMAL,0.018089,0.021707,128960.53,0.250,0.150,0.000,0.350,0.250
2016-02-27,432.95,0.3113,NORMAL,0.002746,0.003295,129385.48,0.250,0.150,0.000,0.350,0.250
2016-02-28,433.10,0.3102,NORMAL,0.000357,0.000428,129440.85,0.250,0.150,0.000,0.350,0.250
2016-02-29,437.78,0.3102,NORMAL,0.010791,0.012949,131117.01,0.250,0.150,0.000,0.350,0.250
2016-03-01,432.81,0.3149,NORMAL,-0.011348,-0.013618,129331.47,0.250,0.150,0.000,0.350,0.250
2016-03-02,423.08,0.3191,NORMAL,-0.022477,-0.026972,125843.14,0.250,0.150,0.000,0.350,0.250
2016-03-03,419.27,0.3097,NORMAL,-0.009008,-0.010809,124482.87,0.250,0.150,0.000,0.350,0.250
2016-03-04,407.99,0.3110,NORMAL,-0.026901,-0.032281,120464.45,0.250,0.150,0.000,0.350,0.250
2016-03-05,397.31,0.3068,NORMAL,-0.026167,-0.031400,116681.88,0.250,0.150,0.000,0.350,0.250
2016-03-06,403.71,0.3007,NORMAL,0.016085,0.019302,118934.05,0.250,0.150,0.000,0.350,0.250
2016-03-07,413.23,0.2985,NORMAL,0.023592,0.028310,122301.10,0.250,0.150,0.000,0.350,0.250
2016-03-08,411.43,0.3078,NORMAL,-0.004364,-0.005237,121660.61,0.250,0.150,0.000,0.350,0.250
2016-03-09,412.54,0.3111,NORMAL,0.002709,0.003251,122056.17,0.250,0.150,0.000,0.350,0.250
2016-03-10,416.34,0.3086,NORMAL,0.009212,0.011054,123405.40,0.250,0.150,0.000,0.350,0.250
2016-03-11,419.51,0.3120,NORMAL,0.007616,0.009140,124533.28,0.250,0.150,0.000,0.350,0.250
2016-03-12,410.26,0.3087,NORMAL,-0.022044,-0.026453,121239.01,0.250,0.150,0.000,0.350,0.250
2016-03-13,411.81,0.3012,NORMAL,0.003758,0.004509,121785.73,0.250,0.150,0.000,0.350,0.250
2016-03-14,415.03,0.3054,NORMAL,0.007822,0.009386,122928.83,0.250,0.150,0.000,0.350,0.250
2016-03-15,415.27,0.3076,NORMAL,0.000577,0.000692,123013.94,0.250,0.150,0.000,0.350,0.250
2016-03-16,417.02,0.3068,NORMAL,0.004233,0.005079,123638.76,0.250,0.150,0.000,0.350,0.250
2016-03-17,418.61,0.3042,NORMAL,0.003792,0.004550,124201.33,0.250,0.150,0.000,0.350,0.250
2016-03-18,408.90,0.3032,NORMAL,-0.023181,-0.027817,120746.36,0.250,0.150,0.000,0.350,0.250
2016-03-19,409.12,0.2985,NORMAL,0.000545,0.000654,120825.33,0.250,0.150,0.000,0.350,0.250
2016-03-20,412.06,0.2992,NORMAL,0.007168,0.008601,121864.59,0.250,0.150,0.000,0.350,0.250
2016-03-21,411.60,0.2983,NORMAL,-0.001105,-0.001326,121703.05,0.250,0.150,0.000,0.350,0.250
2016-03-22,416.58,0.3008,NORMAL,0.012099,0.014519,123470.00,0.250,0.150,0.000,0.350,0.250
2016-03-23,417.38,0.3033,NORMAL,0.001912,0.002295,123753.34,0.250,0.150,0.000,0.350,0.250
2016-03-24,413.56,0.3034,NORMAL,-0.009148,-0.010977,122394.87,0.250,0.150,0.000,0.350,0.250
2016-03-25,416.37,0.3030,NORMAL,0.006802,0.008162,123393.89,0.250,0.150,0.000,0.350,0.250
2016-03-26,416.82,0.3057,NORMAL,0.001080,0.001296,123553.87,0.250,0.150,0.000,0.350,0.250
